"value","variable","date"
"87","targets struck by Israel","2014-07-20"
"13","deaths in Gaza","2014-07-20"
"68","rockets launched from Gaza","2014-07-20"
"3","deaths in Israel","2014-07-20"
"31","targets struck by Israel","2014-07-19"
"1","deaths in Gaza","2014-07-19"
"15","rockets launched from Gaza","2014-07-19"
"0","deaths in Israel","2014-07-19"
"176","targets struck by Israel","2014-07-18"
"27","deaths in Gaza","2014-07-18"
"132","rockets launched from Gaza","2014-07-18"
"0","deaths in Israel","2014-07-18"
"96","targets struck by Israel","2014-07-17"
"10","deaths in Gaza","2014-07-17"
"156","rockets launched from Gaza","2014-07-17"
"1","deaths in Israel","2014-07-17"
"163","targets struck by Israel","2014-07-16"
"16","deaths in Gaza","2014-07-16"
"115","rockets launched from Gaza","2014-07-16"
"0","deaths in Israel","2014-07-16"
"173","targets struck by Israel","2014-07-15"
"13","deaths in Gaza","2014-07-15"
"130","rockets launched from Gaza","2014-07-15"
"0","deaths in Israel","2014-07-15"
"180","targets struck by Israel","2014-07-14"
"48","deaths in Gaza","2014-07-14"
"125","rockets launched from Gaza","2014-07-14"
"0","deaths in Israel","2014-07-14"
"235","targets struck by Israel","2014-07-13"
"23","deaths in Gaza","2014-07-13"
"137","rockets launched from Gaza","2014-07-13"
"0","deaths in Israel","2014-07-13"
"210","targets struck by Israel","2014-07-12"
"23","deaths in Gaza","2014-07-12"
"197","rockets launched from Gaza","2014-07-12"
"0","deaths in Israel","2014-07-12"
"326","targets struck by Israel","2014-07-11"
"38","deaths in Gaza","2014-07-11"
"130","rockets launched from Gaza","2014-07-11"
"0","deaths in Israel","2014-07-11"
"220","targets struck by Israel","2014-07-10"
"24","deaths in Gaza","2014-07-10"
"157","rockets launched from Gaza","2014-07-10"
"0","deaths in Israel","2014-07-10"
